Gene stable ID	Mouse gene stable ID	Mouse gene name	Gene name	Mouse orthology confidence [0 low, 1 high]	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene
ENSG00000201909	ENSMUSG00000064775	Gm25205	RNU6-590P	0	71.9626	74.7573
ENSG00000202188	ENSMUSG00000077681	Gm22496	SNORD115-31	0	76.8293	71.5909
ENSG00000252386	ENSMUSG00000077155	Gm24582	RNU6-1018P	0	66.0377	67.9612
ENSG00000199598	ENSMUSG00000089551	Gm24178	RNU6-859P	0	55.1402	61.4583
ENSG00000252036	ENSMUSG00000087829	Gm22277	RN7SKP288	0	33.9552	32.852
ENSG00000252036	ENSMUSG00000089149	Gm22282	RN7SKP288	0	48.1343	41.3462
ENSG00000252036	ENSMUSG00000088908	Gm25433	RN7SKP288	0	40.6716	38.1119
ENSG00000252814	ENSMUSG00000089344	Gm22664	RN7SKP233	0	77.2727	80.9524
ENSG00000251763	ENSMUSG00000065246	Gm22297	RNU6-470P	0	87.5	85.8491
ENSG00000223179	ENSMUSG00000088071	Gm22818	RNU6-373P	0	69.3878	65.3846
ENSG00000253085	ENSMUSG00000088151	Gm26347	RF00564	0	53.8462	53.4351
ENSG00000206593	ENSMUSG00000065348	Gm25577	RNU6-47P	0	96.2617	96.2617
ENSG00000201129	ENSMUSG00000077569	Gm24608	SNORA58B	1	71.3235	71.3235
ENSG00000199786	ENSMUSG00000088324	Gm25669	RNA5SP188	0	45.7364	52.6786
ENSG00000252029	ENSMUSG00000098877	Gm27959	RNA5SP253	0	70	31.5315
ENSG00000201894	ENSMUSG00000088802	Gm24073	RNU6-967P	0	58.3333	59.434
ENSG00000253039	ENSMUSG00000065044	n-R5s169	RNA5SP47	0	77.0642	70
ENSG00000199846	ENSMUSG00000064830	Gm25699	RNU1-72P	0	64.7059	59.2814
ENSG00000278406	ENSMUSG00000098249	Gm27330	RF01981	1	82.4427	81.8182
ENSG00000200250	ENSMUSG00000094803	Gm26072	RNU6-1147P	0	83.1776	83.1776
ENSG00000206712	ENSMUSG00000075864	Gm26002	RNU6-26P	0	95.3271	95.3271
ENSG00000206615	ENSMUSG00000084456	Gm24593	RNU6-338P	0	81.9048	81.1321
ENSG00000276680	ENSMUSG00000098635	Gm27741	RF02143	1	69.7479	70.0422
ENSG00000275305	ENSMUSG00000064748	n-R5s28	RNA5SP528	0	80.6723	80.6723
ENSG00000209702	ENSMUSG00000077527	Gm25506	SNORD41	1	78.5714	78.5714
ENSG00000199620	ENSMUSG00000084465	n-R5s47	RNA5SP258	0	73.9496	73.9496
ENSG00000199436	ENSMUSG00000065687	Gm23734	SNORD9	0	65.3846	62.3853
ENSG00000201704	ENSMUSG00000095631	n-R5s86	RNA5SP396	0	75.8333	76.4706
ENSG00000222774	ENSMUSG00000084749	Gm25288	RN7SKP121	0	61.6393	70.9434
ENSG00000281394	ENSMUSG00000105448	Gm25820	SCARNA4	1	86.0465	86.7188
ENSG00000281394	ENSMUSG00000106307	Gm23370	SCARNA4	0	86.8217	86.1538
ENSG00000281394	ENSMUSG00000088777	Gm26039	SCARNA4	0	69.7674	62.5
ENSG00000281394	ENSMUSG00000087716	Gm25825	SCARNA4	0	62.7907	65.3226
ENSG00000281394	ENSMUSG00000105400	Gm22897	SCARNA4	0	84.4961	85.1562
ENSG00000281394	ENSMUSG00000087990	Gm25058	SCARNA4	0	82.9457	83.5938
ENSG00000281394	ENSMUSG00000105886	Gm22813	SCARNA4	0	80.6202	83.871
ENSG00000281394	ENSMUSG00000105120	Gm26413	SCARNA4	0	79.0698	80.315
ENSG00000206680	ENSMUSG00000064453	Snord21	SNORD21	1	86.3158	87.234
ENSG00000252236	ENSMUSG00000077648	Gm24988	RF00568	0	48.227	56.1983
ENSG00000252236	ENSMUSG00000093355	Snora26	RF00568	0	48.227	56.1983
ENSG00000202373	ENSMUSG00000077681	Gm22496	SNORD115-43	0	78.0488	72.7273
ENSG00000202427	ENSMUSG00000088736	Gm23898	RNU6-744P	0	71.9626	74.7573
ENSG00000200345	ENSMUSG00000065769	Gm23846	RNU6-485P	0	82.243	82.243
ENSG00000201487	ENSMUSG00000064731	Snord45b	SNORD45B	1	83.3333	84.507
ENSG00000276048	ENSMUSG00000098323	Gm27275	RF02250	1	92.9889	92.6471
ENSG00000199282	ENSMUSG00000064513	Snora9	RF00411	1	84.7328	83.4586
ENSG00000199282	ENSMUSG00000064570	Gm25800	RF00411	0	80.916	79.1045
ENSG00000199282	ENSMUSG00000088518	Gm24438	RF00411	0	55.7252	63.4783
ENSG00000199282	ENSMUSG00000064392	Gm23626	RF00411	0	83.2061	81.9549
ENSG00000252211	ENSMUSG00000064860	n-R5s220	RNA5SP473	0	56.8	59.1667
ENSG00000276528	ENSMUSG00000098537	Gm27867	RF01975	1	80	80
ENSG00000222765	ENSMUSG00000084448	Gm26256	RNU2-40P	0	55.102	58.0645
ENSG00000198888	ENSMUSG00000064341	mt-Nd1	MT-ND1	1	77.044	77.044
ENSG00000198763	ENSMUSG00000064345	mt-Nd2	MT-ND2	1	57.0605	57.3913
ENSG00000198804	ENSMUSG00000064351	mt-Co1	MT-CO1	1	90.8382	90.6615
ENSG00000198712	ENSMUSG00000064354	mt-Co2	MT-CO2	1	71.3656	71.3656
ENSG00000206965	ENSMUSG00000095132	Rnu6	RNU6-5P	0	100	100
ENSG00000206965	ENSMUSG00000095972	Gm23512	RNU6-5P	0	100	100
ENSG00000206965	ENSMUSG00000094703	Gm24486	RNU6-5P	0	100	100
ENSG00000206965	ENSMUSG00000094013	Gm25829	RNU6-5P	0	100	100
ENSG00000206965	ENSMUSG00000095584	Gm22628	RNU6-5P	0	99.0654	99.0654
ENSG00000228253	ENSMUSG00000064356	mt-Atp8	MT-ATP8	0	45.5882	46.2687
ENSG00000206772	ENSMUSG00000088615	Gm22485	RNU6-44P	0	63.5514	62.3853
ENSG00000206772	ENSMUSG00000093932	Gm25525	RNU6-44P	0	90.6542	90.6542
ENSG00000206772	ENSMUSG00000094275	Gm22290	RNU6-44P	0	96.2617	96.2617
ENSG00000198899	ENSMUSG00000064357	mt-Atp6	MT-ATP6	1	75.6637	75.6637
ENSG00000198938	ENSMUSG00000064358	mt-Co3	MT-CO3	1	86.9732	86.9732
ENSG00000273544	ENSMUSG00000065709	Gm22341	SNORA44	0	82.5758	84.4961
ENSG00000198840	ENSMUSG00000064360	mt-Nd3	MT-ND3	1	66.087	66.087
ENSG00000212907	ENSMUSG00000065947	mt-Nd4l	MT-ND4L	1	66.3265	66.3265
ENSG00000200336	ENSMUSG00000065387	n-R5s85	RNA5SP333	0	67.7966	70.7965
ENSG00000198886	ENSMUSG00000064363	mt-Nd4	MT-ND4	1	66.8845	66.8845
ENSG00000276345	ENSMUSG00000037772	Mrpl23	AC004556.1	1	81.0458	84.9315
ENSG00000207475	ENSMUSG00000080370	Gm22952	SNORA80E	0	51.0949	58.3333
ENSG00000207475	ENSMUSG00000084433	Gm25945	SNORA80E	1	66.4234	67.4074
ENSG00000278274	ENSMUSG00000064761	Gm23514	SNORA61	0	70	70
ENSG00000278274	ENSMUSG00000064949	Snora61	SNORA61	1	75.3846	75.3846
ENSG00000278274	ENSMUSG00000084702	Gm22986	SNORA61	0	66.1538	66.1538
ENSG00000278274	ENSMUSG00000064850	Gm23443	SNORA61	0	69.2308	70.3125
ENSG00000198786	ENSMUSG00000064367	mt-Nd5	MT-ND5	1	63.8474	63.4267
ENSG00000222990	ENSMUSG00000088409	Gm25882	RNU4-22P	0	34.9398	68.2353
ENSG00000198695	ENSMUSG00000064368	mt-Nd6	MT-ND6	1	52.2989	52.907
ENSG00000275646	ENSMUSG00000098614	Gm27301	RF02174	1	61.0687	62.9921
ENSG00000198727	ENSMUSG00000064370	mt-Cytb	MT-CYB	1	78.1579	77.9528
ENSG00000206835	ENSMUSG00000088332	Gm22847	RNU1-74P	0	48.538	79.0476
ENSG00000200254	ENSMUSG00000065935	Gm25629	RNU6-536P	0	83.1776	83.1776
ENSG00000200254	ENSMUSG00000096863	Gm22259	RNU6-536P	0	88.785	88.785
ENSG00000200254	ENSMUSG00000065115	Gm23298	RNU6-536P	0	93.4579	93.4579
ENSG00000276094	ENSMUSG00000064994	Gm22422	RF00156	0	73.6842	51.8519
ENSG00000276105	ENSMUSG00000098859	Gm27389	RF01947	1	84.6939	85.1282
ENSG00000201393	ENSMUSG00000064405	Gm23925	RF00056	1	77.7778	68.9394
ENSG00000222952	ENSMUSG00000065005	n-R5s79	RNA5SP41	0	59.4059	50
ENSG00000222952	ENSMUSG00000064507	n-R5s94	RNA5SP41	0	60.396	51.2605
ENSG00000252959	ENSMUSG00000089601	Gm22094	RNA5SP170	0	64.3564	55.5556
ENSG00000243544	ENSMUSG00000092875	Gm22649	RN7SL172P	0	62.0462	63.0872
ENSG00000281780	ENSMUSG00000105060	Gm26457	RF00134	0	38.2022	97.1429
ENSG00000274520	ENSMUSG00000098775	Gm27435	RF02246	1	78.1609	77.2727
ENSG00000212550	ENSMUSG00000065389	Gm23100	RNU1-78P	0	63.6364	74.4681
ENSG00000221363	ENSMUSG00000088623	Gm23031	RNU6ATAC20P	0	71.6535	76.4706
ENSG00000207046	ENSMUSG00000095305	Gm23790	RNU6-886P	0	87.619	85.9813
ENSG00000252307	ENSMUSG00000098877	Gm27959	RNA5SP153	0	63.1579	43.2432
ENSG00000200575	ENSMUSG00000084476	Gm25781	RNU6-414P	0	70.1923	86.9048
ENSG00000252757	ENSMUSG00000089578	Gm25971	RN7SKP96	0	36.7003	38.1119
ENSG00000207260	ENSMUSG00000065714	Gm25652	RNU6-35P	0	90.6542	94.1748
ENSG00000200869	ENSMUSG00000089546	Gm25839	RNU6-457P	0	70.0935	72.8155
ENSG00000201243	ENSMUSG00000065201	Gm24612	RNU6-654P	0	90.6542	90.6542
ENSG00000252714	ENSMUSG00000075874	n-R5s1	RNA5SP392	0	70.5357	66.3866
ENSG00000200163	ENSMUSG00000077681	Gm22496	SNORD115-18	0	76.8293	71.5909
ENSG00000275994	ENSMUSG00000092730	Snora24	SNORA24	1	90.8397	91.5385
ENSG00000206899	ENSMUSG00000065788	Gm22682	RNU6-36P	0	99.0654	99.0654
ENSG00000206899	ENSMUSG00000065132	Gm24456	RNU6-36P	0	98.1308	98.1308
ENSG00000206899	ENSMUSG00000064626	Gm22306	RNU6-36P	0	98.1308	98.1308
ENSG00000206899	ENSMUSG00000064890	Gm22505	RNU6-36P	0	99.0654	98.1481
ENSG00000275558	ENSMUSG00000065808	Gm23037	RN7SKP175	0	81.3149	72.5309
ENSG00000212273	ENSMUSG00000087813	Gm22490	RF00561	0	74.2188	79.8319
ENSG00000199833	ENSMUSG00000077681	Gm22496	SNORD115-21	0	76.5432	70.4545
ENSG00000201654	ENSMUSG00000095023	Gm24019	RNU6-7	0	100	100
ENSG00000278072	ENSMUSG00000098665	Gm27587	RF01879	1	86.0606	87.1166
ENSG00000283575	ENSMUSG00000095857	Gm22618	RF00026	0	95.8333	85.9813
ENSG00000273727	ENSMUSG00000065049	Gm24041	RF00003	0	59.2593	61.5385
ENSG00000252105	ENSMUSG00000064859	Gm24524	RNU1-143P	0	60.274	51.7647
ENSG00000252105	ENSMUSG00000089396	Gm23027	RNU1-143P	0	65.0685	60.1266
ENSG00000252105	ENSMUSG00000088394	Gm26312	RNU1-143P	0	54.7945	48.4848
ENSG00000252105	ENSMUSG00000087949	Gm24251	RNU1-143P	0	43.8356	56.1404
ENSG00000252533	ENSMUSG00000084629	Gm25112	RNU6-572P	0	76.25	58.6538
ENSG00000199506	ENSMUSG00000088312	Gm26181	RNU6-247P	0	76.6355	77.3585
ENSG00000275634	ENSMUSG00000098836	Gm27572	RF02160	1	73.2	71.7647
ENSG00000278421	ENSMUSG00000098603	Gm27798	RF02119	1	77.4648	77.4648
ENSG00000222361	ENSMUSG00000088405	Gm25886	RNU6-1186P	0	58.7629	50
ENSG00000221059	ENSMUSG00000089423	Gm26007	RNU6ATAC6P	0	66.6667	70
ENSG00000209482	ENSMUSG00000088219	Gm22077	SNORD83A	1	58.9474	60.2151
ENSG00000199855	ENSMUSG00000064444	Gm26227	RNU6-490P	0	77.5701	82.1782
ENSG00000252021	ENSMUSG00000087758	Gm23466	RF00019	0	44.8598	45.283
ENSG00000221803	ENSMUSG00000080478	Snord23	SNORD23	1	87.2727	88.0734
ENSG00000274716	ENSMUSG00000084665	Gm23214	RF00015	0	78.0488	40.7643
ENSG00000242818	ENSMUSG00000093191	Gm22876	RN7SL846P	0	73.6301	72.1477
ENSG00000239899	ENSMUSG00000092702	Gm24514	RN7SL674P	0	74.5455	71.9298
ENSG00000222874	ENSMUSG00000087909	Gm22035	RN7SKP33	0	45.8824	68.4211
ENSG00000252747	ENSMUSG00000087957	Gm22560	RNA5SP364	0	65.3846	42.5
ENSG00000252747	ENSMUSG00000088182	Gm22216	RNA5SP364	0	56.4103	38.5965
ENSG00000276229	ENSMUSG00000099317	Gm27610	RF02248	1	82.6667	83.7838
ENSG00000200840	ENSMUSG00000087761	Gm23981	RNU6-82P	0	63.5514	64.1509
ENSG00000200840	ENSMUSG00000077277	Gm22783	RNU6-82P	0	69.1589	69.1589
ENSG00000241230	ENSMUSG00000093191	Gm22876	RN7SL801P	0	71.8543	72.8188
ENSG00000252422	ENSMUSG00000099053	Gm27792	RNA5SP476	0	63.1068	56.5217
ENSG00000241756	ENSMUSG00000092875	Gm22649	RN7SL83P	0	60.9428	60.7383
ENSG00000274847	ENSMUSG00000024175	Tekt4	MAFIP	0	62.7907	18.1208
ENSG00000252764	ENSMUSG00000075826	Gm23691	RNU6-1092P	0	85.0575	69.1589
ENSG00000278590	ENSMUSG00000092875	Gm22649	RN7SL113P	0	63.8796	64.094
ENSG00000249020	ENSMUSG00000064938	Mir3068	SNORA58	1	80.292	80.8824
ENSG00000199327	ENSMUSG00000065159	Gm25482	RNU6-230P	0	78.8462	76.6355
ENSG00000206999	ENSMUSG00000094896	Gm22287	RNU6-622P	0	79.6116	76.6355
ENSG00000201752	ENSMUSG00000065242	Gm22294	RNU6-119P	0	84.1122	86.5385
ENSG00000206917	ENSMUSG00000064833	Gm25926	RNU1-52P	0	66.4634	68.125
ENSG00000206917	ENSMUSG00000089185	Gm22940	RNU1-52P	0	58.5366	61.9355
ENSG00000206917	ENSMUSG00000064855	Gm24526	RNU1-52P	0	66.4634	68.9873
ENSG00000206917	ENSMUSG00000065745	Gm25004	RNU1-52P	0	68.2927	69.5652
ENSG00000206917	ENSMUSG00000089044	Gm26170	RNU1-52P	0	55.4878	61.4865
ENSG00000251773	ENSMUSG00000064904	Gm25404	RNU6-1129P	0	80.7692	78.5047
ENSG00000222355	ENSMUSG00000065620	Gm24764	RNU2-29P	0	53.9683	51.2563
ENSG00000212620	ENSMUSG00000065231	Gm22972	RF00072	0	72.4409	70.229
ENSG00000244710	ENSMUSG00000092875	Gm22649	RN7SL47P	0	63.8796	64.094
ENSG00000200706	ENSMUSG00000064731	Snord45b	RF00279	0	75	76.0563
ENSG00000220986	ENSMUSG00000080394	Gm23786	SNORA50D	0	62.6866	69.4215
ENSG00000220986	ENSMUSG00000106163	Gm26047	SNORA50D	0	55.9701	65.2174
ENSG00000253047	ENSMUSG00000087813	Gm22490	RF00561	0	55.3719	56.3025
ENSG00000243035	ENSMUSG00000093191	Gm22876	RN7SL810P	0	67.7536	62.7517
ENSG00000013503	ENSMUSG00000034453	Polr3b	POLR3B	1	99.3822	99.3822
ENSG00000136044	ENSMUSG00000020263	Appl2	APPL2	1	91.0448	92.145
ENSG00000136051	ENSMUSG00000034560	Washc4	WASHC4	1	96.678	96.7604
ENSG00000160752	ENSMUSG00000059743	Fdps	FDPS	1	71.1217	84.4193
ENSG00000088926	ENSMUSG00000031645	F11	F11	1	77.92	78.0449
ENSG00000111780	ENSMUSG00000029536	Gatc	AL021546.1	1	53.5714	58.0645
ENSG00000111775	ENSMUSG00000041697	Cox6a1	COX6A1	1	83.4862	81.25
ENSG00000111786	ENSMUSG00000029538	Srsf9	SRSF9	1	98.6425	98.1982
ENSG00000170855	ENSMUSG00000029535	Triap1	TRIAP1	1	98.6842	98.6842
ENSG00000131910	ENSMUSG00000037583	Nr0b2	NR0B2	1	78.9883	78.0769
ENSG00000113249	ENSMUSG00000040413	Timd2	HAVCR1	0	24.9377	32.7869
ENSG00000113249	ENSMUSG00000046974	BC053393	HAVCR1	0	16.4589	34.375
ENSG00000113249	ENSMUSG00000040405	Havcr1	HAVCR1	0	27.4314	36.0656
ENSG00000113249	ENSMUSG00000078924	Gm12169	HAVCR1	0	17.207	27.6
ENSG00000067334	ENSMUSG00000039756	Dnttip2	DNTTIP2	1	60.7143	60.5541
ENSG00000011007	ENSMUSG00000028668	Eloa	ELOA	1	80.2005	82.7943
ENSG00000160691	ENSMUSG00000042626	Shc1	SHC1	1	94.3493	95.1641
ENSG00000197217	ENSMUSG00000095463	Entpd4	ENTPD4	1	93.0195	93.4747
ENSG00000197217	ENSMUSG00000022066	Entpd4b	ENTPD4	1	93.0195	93.4747
ENSG00000082515	ENSMUSG00000020514	Mrpl22	MRPL22	0	89.3204	89.3204
ENSG00000067369	ENSMUSG00000043909	Trp53bp1	TP53BP1	1	80.526	80.8532
ENSG00000117318	ENSMUSG00000007872	Id3	ID3	1	96.6387	96.6387
ENSG00000119682	ENSMUSG00000042350	Arel1	AREL1	1	97.2053	97.2053
ENSG00000143578	ENSMUSG00000027938	Creb3l4	CREB3L4	1	66.5823	71.0811
ENSG00000161204	ENSMUSG00000003234	Abcf3	ABCF3	1	96.756	96.756
ENSG00000100410	ENSMUSG00000061360	Phf5a	PHF5A	1	100	100
ENSG00000109047	ENSMUSG00000020907	Rcvrn	RCVRN	1	88	87.1287
ENSG00000205758	ENSMUSG00000058240	Cryzl1	CRYZL1	1	89.9713	90.2299
ENSG00000249209	ENSMUSG00000116933	Atp5o	AP000311.1	1	50.4132	69.3182
ENSG00000114126	ENSMUSG00000032411	Tfdp2	TFDP2	1	82.5112	95.3368
ENSG00000163218	ENSMUSG00000042250	Pglyrp4	PGLYRP4	1	75.8713	75.4667
ENSG00000134193	ENSMUSG00000027876	Reg4	REG4	1	65.8228	66.242
ENSG00000184148	ENSMUSG00000045566	Sprr4	SPRR4	1	70.8861	73.6842
ENSG00000203985	ENSMUSG00000070877	Ldlrad1	LDLRAD1	1	70.7317	66.5138
ENSG00000197651	ENSMUSG00000047025	Ccer1	CCER1	1	60.5911	61.0422
ENSG00000196260	ENSMUSG00000090509	Sfta2	SFTA2	1	52.5641	53.2468
ENSG00000116731	ENSMUSG00000057637	Prdm2	PRDM2	1	83.5856	84.0257
ENSG00000185477	ENSMUSG00000045441	Gprin3	GPRIN3	1	57.9897	58.9777
ENSG00000253313	ENSMUSG00000028536	2610528J11Rik	C1orf210	1	74.3363	75.6757
ENSG00000161011	ENSMUSG00000015837	Sqstm1	SQSTM1	1	91.1364	90.724
ENSG00000144744	ENSMUSG00000030061	Uba3	UBA3	1	99.1361	99.3506
